Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Class,Remark
2026-05-21 07:35:29 UTC,27,30,4.81,0.65,27.8,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:35:39 UTC,27,30,4.53,0.62,27.9,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:35:49 UTC,27,30,4.71,0.63,28,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:35:59 UTC,27,31,4.81,0.64,28,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:36:09 UTC,28,31,4.53,0.62,28,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:36:19 UTC,28,32,4.56,0.63,28,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:36:29 UTC,28,32,4.56,0.6,28.1,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:36:39 UTC,28,32,4.56,0.6,28.1,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:36:49 UTC,29,32,4.58,0.61,28.1,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:36:59 UTC,29,32,4.61,0.63,28.2,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:37:09 UTC,26,31,4.63,0.63,28.2,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:37:19 UTC,25,30,4.63,0.63,28.2,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:37:29 UTC,25,29,4.63,0.63,28.2,100,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:37:39 UTC,25,29,4.63,0.63,28.3,99.7,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:37:49 UTC,25,26,4.66,0.63,28.2,99.3,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:37:59 UTC,25,26,4.63,0.63,28.3,98.9,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:38:09 UTC,25,27,4.63,0.63,28.3,98.5,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:38:19 UTC,23,26,4.61,0.63,28.3,98.2,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:38:29 UTC,24,26,4.58,0.63,28.3,98,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:38:39 UTC,24,26,4.53,0.63,28.3,97.9,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:38:49 UTC,24,26,4.56,0.62,28.3,97.7,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:38:59 UTC,24,26,4.56,0.62,28.4,97.6,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:39:09 UTC,23,25,4.58,0.63,28.4,97.4,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:39:19 UTC,22,23,4.61,0.61,28.4,97.3,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:39:29 UTC,22,22,4.61,0.62,28.4,97.1,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:39:39 UTC,23,24,4.66,0.63,28.4,96.9,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:39:49 UTC,23,24,4.61,0.63,28.4,96.7,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:39:59 UTC,22,24,4.66,0.63,28.4,96.6,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:40:09 UTC,21,23,4.68,0.63,28.4,96.4,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:40:19 UTC,21,23,4.63,0.63,28.4,96.1,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:40:29 UTC,22,22,4.63,0.63,28.4,95.9,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:40:39 UTC,23,23,4.61,0.63,28.4,95.6,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:40:49 UTC,21,23,4.58,0.61,28.4,95.6,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:40:59 UTC,19,21,4.56,0.63,28.5,95.4,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:41:09 UTC,22,24,4.51,0.62,28.5,95.4,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:41:19 UTC,21,24,4.53,0.62,28.5,95.5,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:41:29 UTC,21,24,4.53,0.63,28.5,95.4,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:41:39 UTC,25,28,4.53,0.62,28.5,95.4,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:41:49 UTC,26,29,4.56,0.63,28.5,95.4,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
2026-05-21 07:41:59 UTC,26,30,4.58,0.63,28.5,95.3,0,"SAFE: HIGH HUMIDITY MIST DETECTED, CONTINUE WORK"
