Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Class,Remark
2026-05-22 07:43:44 UTC,53,60,14.2,0.57,29,69.9,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:43:54 UTC,50,59,14.27,0.56,29.2,70,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:44:04 UTC,49,60,15.73,0.6,29.2,69.6,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:44:14 UTC,51,60,15.8,0.58,29.2,70,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:44:24 UTC,46,60,15.8,0.58,29.2,69.6,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:44:34 UTC,45,57,14.18,0.56,29,70,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:44:44 UTC,44,53,14.23,0.56,28.9,70.2,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:44:54 UTC,46,58,15.36,0.58,29.2,70.1,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:45:04 UTC,43,64,13.68,0.55,28.9,70,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:45:14 UTC,45,64,15.9,0.58,29,70.2,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:45:24 UTC,51,62,14.32,0.56,28.9,70.3,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:45:34 UTC,47,63,15.33,0.58,28.9,70.5,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:45:44 UTC,48,66,14.3,0.56,28.8,70.4,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:45:54 UTC,51,66,15.51,0.58,29.2,70.3,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:46:04 UTC,48,62,14.55,0.56,28.9,70.8,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:46:14 UTC,46,63,15.31,0.58,29,70.5,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:46:24 UTC,49,61,15.65,0.58,28.8,70.5,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:46:34 UTC,47,59,13.88,0.55,29.1,70.3,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:46:44 UTC,47,58,15.01,0.56,28.9,70.5,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:46:54 UTC,47,60,14.13,0.56,29.2,70.8,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:47:04 UTC,49,55,15.85,0.58,29.2,70.6,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:47:14 UTC,50,65,14.05,0.55,29,70.2,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:47:24 UTC,46,64,15.48,0.58,29.3,69.7,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:47:34 UTC,48,58,13.68,0.56,29.3,69.6,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:47:44 UTC,47,62,14.69,0.56,29.2,69.5,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:47:54 UTC,45,62,15.65,0.58,29.2,70,1,CAUTION: ELEVATED POLLUTION LEVEL
2026-05-22 07:48:04 UTC,49,65,15.56,0.58,29,70,1,CAUTION: ELEVATED POLLUTION LEVEL
