Timestamp,PM25,PM10,Gas,CO,Temp,Hum,Status
2026-03-16 08:30:07 UTC,3,6,16.84,5.84,23.2,57.6,Safe
2026-03-16 08:30:17 UTC,4,5,17.59,5.94,23.2,58.0,Safe
2026-03-16 08:30:27 UTC,4,5,17.68,5.94,23.3,58.5,Safe
2026-03-16 08:30:37 UTC,4,4,16.92,5.82,23.3,58.7,Safe
2026-03-16 08:30:47 UTC,4,5,17.39,5.89,23.4,59.0,Safe
2026-03-16 08:30:57 UTC,5,5,16.95,5.84,23.4,59.4,Safe
2026-03-16 08:31:07 UTC,5,5,17.71,5.94,23.4,59.6,Safe
2026-03-16 08:31:17 UTC,5,5,16.87,5.87,23.4,59.9,Safe
2026-03-16 08:31:27 UTC,3,4,17.28,5.89,23.5,60.2,Safe
2026-03-16 08:31:37 UTC,3,3,16.84,5.84,23.5,60.5,Safe
2026-03-16 08:31:47 UTC,4,4,17.59,5.91,23.6,60.7,Safe
2026-03-16 08:31:57 UTC,5,6,17.51,5.94,23.6,61.0,Safe
2026-03-16 08:32:07 UTC,4,5,17.68,5.96,23.6,61.2,Safe
2026-03-16 08:32:17 UTC,5,5,16.92,5.87,23.6,61.4,Safe
2026-03-16 08:32:27 UTC,5,5,16.84,5.87,23.7,61.8,Safe
2026-03-16 08:32:37 UTC,3,3,17.63,5.91,23.7,61.8,Safe
2026-03-16 08:32:47 UTC,4,4,16.71,5.84,23.8,61.6,Safe
2026-03-16 08:32:57 UTC,4,4,17.56,5.96,23.8,61.2,Safe
2026-03-16 08:33:07 UTC,4,4,16.84,5.82,23.8,60.4,Safe
2026-03-16 08:33:17 UTC,5,5,17.43,5.91,23.8,59.6,Safe
2026-03-16 08:33:27 UTC,5,5,16.84,5.82,23.8,59.1,Safe
2026-03-16 08:33:37 UTC,5,5,17.11,5.89,23.8,58.3,Safe
2026-03-16 08:33:47 UTC,6,6,16.84,5.82,23.8,57.6,Safe
2026-03-16 08:33:57 UTC,6,6,17.56,5.91,23.8,57.1,Safe
2026-03-16 08:34:07 UTC,7,7,16.98,5.89,23.8,56.6,Safe
2026-03-16 08:34:17 UTC,5,7,16.84,5.82,23.8,56.1,Safe
2026-03-16 08:34:27 UTC,3,6,17.56,5.94,23.8,56.0,Safe
2026-03-16 08:34:37 UTC,5,7,16.84,5.82,23.7,55.8,Safe
2026-03-16 08:34:47 UTC,4,4,17.56,5.91,23.7,55.5,Safe
2026-03-16 08:34:57 UTC,4,4,16.33,5.8,23.7,55.4,Safe
2026-03-16 08:35:07 UTC,4,5,16.95,5.89,23.7,55.3,Safe
2026-03-16 08:35:17 UTC,4,4,16.84,5.87,23.7,55.3,Safe
2026-03-16 08:35:27 UTC,4,4,17.56,5.94,23.7,55.2,Safe
2026-03-16 08:35:37 UTC,3,4,16.63,5.84,23.7,55.2,Safe
2026-03-16 08:35:47 UTC,4,4,17.03,5.89,23.6,54.8,Safe
2026-03-16 08:35:57 UTC,4,4,16.63,5.84,23.6,54.7,Safe
2026-03-16 08:36:07 UTC,5,6,17.11,5.89,23.6,54.9,Safe
2026-03-16 08:36:17 UTC,4,6,17.15,5.87,23.6,55.5,Safe
2026-03-16 08:36:27 UTC,5,5,16.84,5.82,23.6,56.5,Safe
2026-03-16 08:36:37 UTC,5,5,17.03,5.89,23.6,57.9,Safe
2026-03-16 08:36:47 UTC,5,6,16.41,5.8,23.6,59.2,Safe
2026-03-16 08:36:57 UTC,5,5,17.56,5.94,23.6,59.9,Safe
2026-03-16 08:37:07 UTC,5,7,16.84,5.87,23.6,61.0,Safe
2026-03-16 08:37:17 UTC,6,7,17.48,5.89,23.6,61.9,Safe
2026-03-16 08:37:27 UTC,5,7,16.33,5.8,23.6,62.4,Safe
2026-03-16 08:37:37 UTC,6,10,17.43,5.91,23.6,62.7,Safe
2026-03-16 08:37:47 UTC,6,7,17.23,5.89,23.6,62.5,Safe
2026-03-16 08:37:57 UTC,6,6,17.34,5.96,23.6,62.1,Safe
2026-03-16 08:38:07 UTC,5,6,16.6,5.87,23.6,61.3,Safe
2026-03-16 08:38:17 UTC,6,7,16.84,5.82,23.6,60.7,Safe
2026-03-16 08:38:27 UTC,4,5,17.39,5.94,23.6,60.0,Safe
2026-03-16 08:38:37 UTC,5,5,16.71,5.82,23.6,59.5,Safe
2026-03-16 08:38:47 UTC,5,6,17.51,5.94,23.6,59.2,Safe
2026-03-16 08:38:57 UTC,6,8,16.57,5.75,23.5,58.9,Safe
2026-03-16 08:39:07 UTC,5,7,17.39,5.91,23.6,58.6,Safe
2026-03-16 08:39:17 UTC,4,6,16.57,5.84,23.6,58.4,Safe
2026-03-16 08:39:27 UTC,3,7,17.48,5.94,23.5,58.0,Safe
2026-03-16 08:39:37 UTC,5,7,16.84,5.84,23.5,57.6,Safe
2026-03-16 08:39:47 UTC,4,7,17.48,5.94,23.6,57.3,Safe
2026-03-16 08:39:57 UTC,6,7,17.43,5.91,23.5,56.9,Safe
2026-03-16 08:40:07 UTC,5,7,16.6,5.82,23.5,56.6,Safe
2026-03-16 08:40:17 UTC,3,4,16.92,5.89,23.5,56.1,Safe
2026-03-16 08:40:27 UTC,3,3,16.84,5.87,23.5,55.5,Safe
2026-03-16 08:40:37 UTC,5,5,17.63,5.96,23.5,55.1,Safe
2026-03-16 08:40:47 UTC,5,6,16.79,5.87,23.5,54.8,Safe
2026-03-16 08:40:57 UTC,4,5,17.68,5.98,23.5,55.1,Safe
2026-03-16 08:41:07 UTC,3,4,16.6,5.8,23.5,54.7,Safe
2026-03-16 08:41:17 UTC,4,5,17.85,5.98,23.4,54.6,Safe
2026-03-16 08:41:27 UTC,4,7,16.68,5.82,23.4,55.1,Safe
2026-03-16 08:41:37 UTC,3,6,17.43,5.94,23.4,56.0,Safe
2026-03-16 08:41:47 UTC,3,5,17.03,5.89,23.4,57.3,Safe
2026-03-16 08:41:57 UTC,4,5,17.43,5.91,23.4,58.5,Safe
2026-03-16 08:42:07 UTC,5,5,17.85,5.98,23.4,59.9,Safe
2026-03-16 08:42:17 UTC,5,5,16.95,5.84,23.4,60.9,Safe
2026-03-16 08:42:27 UTC,5,5,17.8,5.98,23.5,61.9,Safe
2026-03-16 08:42:37 UTC,5,6,17.03,5.87,23.4,62.8,Safe
2026-03-16 08:42:47 UTC,5,7,17.56,5.96,23.5,63.5,Safe
2026-03-16 08:42:57 UTC,4,6,16.98,5.87,23.5,63.6,Safe
2026-03-16 08:43:07 UTC,5,6,17.59,5.98,23.5,63.3,Safe
2026-03-16 08:43:17 UTC,3,5,16.84,5.87,23.5,62.9,Safe
2026-03-16 08:43:27 UTC,4,6,17.68,5.96,23.5,62.2,Safe
2026-03-16 08:43:37 UTC,5,7,17.51,5.96,23.5,61.5,Safe
2026-03-16 08:43:47 UTC,4,5,17.68,5.96,23.5,61.0,Safe
2026-03-16 08:43:57 UTC,4,5,16.63,5.82,23.5,60.5,Safe
2026-03-16 08:44:07 UTC,4,7,16.84,5.89,23.5,60.1,Safe
2026-03-16 08:44:17 UTC,3,6,17.43,5.98,23.4,59.7,Safe
2026-03-16 08:44:27 UTC,4,5,16.87,5.87,23.4,59.5,Safe
2026-03-16 08:44:37 UTC,5,5,17.68,5.96,23.4,59.2,Safe
2026-03-16 08:44:47 UTC,5,5,16.84,5.84,23.3,59.1,Safe
2026-03-16 08:44:57 UTC,5,5,17.63,5.96,23.3,59.0,Safe
2026-03-16 08:45:07 UTC,5,6,16.87,5.87,23.3,58.8,Safe
2026-03-16 08:45:17 UTC,7,7,17.68,5.96,23.3,58.8,Safe
2026-03-16 08:45:27 UTC,5,6,16.84,5.87,23.3,58.8,Safe
2026-03-16 08:45:37 UTC,11,14,17.56,5.98,23.3,58.8,Safe
2026-03-16 08:45:47 UTC,10,15,17.28,5.96,23.3,58.9,Safe
2026-03-16 08:45:57 UTC,9,12,17.31,5.94,23.3,58.6,Safe
2026-03-16 08:46:07 UTC,8,11,17.43,5.98,23.2,58.4,Safe
2026-03-16 08:46:17 UTC,6,7,16.84,5.84,23.2,58.2,Safe
2026-03-16 08:46:27 UTC,7,8,17.43,5.94,23.2,58.0,Safe
2026-03-16 08:46:37 UTC,12,13,16.84,5.87,23.2,57.7,Safe
2026-03-16 08:46:47 UTC,11,12,17.51,5.96,23.1,57.6,Safe
2026-03-16 08:46:57 UTC,9,10,16.79,5.87,23.1,57.7,Safe
2026-03-16 08:47:07 UTC,6,10,17.39,5.96,23.1,57.6,Safe
2026-03-16 08:47:17 UTC,6,8,16.71,5.87,23.1,57.7,Safe
2026-03-16 08:47:27 UTC,5,6,17.07,5.89,23.0,57.7,Safe
2026-03-16 08:47:37 UTC,5,7,16.33,5.77,23.1,57.8,Safe
2026-03-16 08:47:47 UTC,7,10,17.23,5.94,23.0,57.8,Safe
2026-03-16 08:47:57 UTC,5,8,17.51,5.96,23.0,57.7,Safe
2026-03-16 08:48:07 UTC,4,5,16.79,5.82,23.0,57.6,Safe
2026-03-16 08:48:17 UTC,5,6,17.56,5.96,23.0,57.5,Safe
2026-03-16 08:48:27 UTC,5,6,16.49,5.8,22.9,57.5,Safe
2026-03-16 08:48:37 UTC,6,7,17.59,5.91,22.9,57.6,Safe
2026-03-16 08:48:47 UTC,6,7,16.76,5.87,22.9,57.7,Safe
2026-03-16 08:48:57 UTC,5,6,17.03,5.89,22.9,57.7,Safe
2026-03-16 08:49:07 UTC,5,7,16.6,5.84,22.8,57.3,Safe
2026-03-16 08:49:17 UTC,6,8,17.59,5.94,22.8,56.9,Safe
2026-03-16 08:49:27 UTC,5,7,16.63,5.87,22.8,56.8,Safe
2026-03-16 08:49:37 UTC,7,8,17.34,5.96,22.7,56.5,Safe
2026-03-16 08:49:47 UTC,7,8,16.49,5.84,22.7,56.3,Safe
2026-03-16 08:49:57 UTC,6,8,16.79,5.84,22.7,56.3,Safe
2026-03-16 08:50:07 UTC,6,8,17.51,5.94,22.7,56.3,Safe
2026-03-16 08:50:17 UTC,6,8,16.57,5.87,22.6,56.2,Safe
2026-03-16 08:50:27 UTC,6,12,17.48,5.96,22.6,56.1,Safe
2026-03-16 08:50:37 UTC,7,13,16.84,5.8,22.5,56.0,Safe
2026-03-16 08:50:47 UTC,8,15,17.23,5.94,22.5,55.9,Safe
2026-03-16 08:50:57 UTC,9,17,16.63,5.84,22.5,55.7,Safe
2026-03-16 08:51:07 UTC,7,17,17.03,5.89,22.5,55.6,Safe
2026-03-16 08:51:17 UTC,6,14,16.63,5.8,22.4,55.5,Safe
2026-03-16 08:51:27 UTC,8,12,16.84,5.89,22.4,55.4,Safe
2026-03-16 08:51:37 UTC,7,13,17.39,5.91,22.4,55.6,Safe
2026-03-16 08:51:47 UTC,6,11,17.43,5.96,22.3,55.7,Safe
2026-03-16 08:51:57 UTC,5,7,17.28,5.91,22.3,55.8,Safe
2026-03-16 08:52:07 UTC,6,7,16.41,5.8,22.3,55.9,Safe
2026-03-16 08:52:17 UTC,6,8,17.34,5.91,22.2,56.1,Safe
2026-03-16 08:52:27 UTC,6,6,16.44,5.82,22.2,56.2,Safe
2026-03-16 08:52:37 UTC,6,6,17.48,5.91,22.2,56.3,Safe
2026-03-16 08:52:47 UTC,6,7,16.6,5.82,22.1,56.4,Safe
2026-03-16 08:52:57 UTC,6,8,17.39,5.94,22.1,56.4,Safe
2026-03-16 08:53:07 UTC,6,7,16.6,5.82,22.1,56.5,Safe
2026-03-16 08:53:17 UTC,6,11,17.48,5.96,22.1,56.6,Safe
2026-03-16 08:53:27 UTC,6,10,16.49,5.84,22.1,56.8,Safe
2026-03-16 08:53:37 UTC,6,9,17.34,5.91,22.1,56.9,Safe
2026-03-16 08:53:47 UTC,7,10,17.34,5.94,22.1,57.1,Safe
2026-03-16 08:53:57 UTC,7,10,16.49,5.82,22.0,57.3,Safe
2026-03-16 08:54:07 UTC,6,11,17.31,5.94,22.0,57.4,Safe
2026-03-16 08:54:17 UTC,6,9,16.57,5.84,22.0,57.4,Safe
2026-03-16 08:54:27 UTC,6,8,17.43,5.91,22.0,57.5,Safe
2026-03-16 08:54:37 UTC,6,7,16.6,5.77,21.9,57.5,Safe
2026-03-16 08:54:47 UTC,6,10,17.43,5.94,21.9,57.4,Safe
2026-03-16 08:54:57 UTC,6,10,16.57,5.84,21.9,57.4,Safe
2026-03-16 08:55:07 UTC,6,8,17.39,5.94,21.9,57.4,Safe
2026-03-16 08:55:17 UTC,6,8,16.68,5.82,21.9,57.3,Safe
2026-03-16 08:55:27 UTC,7,10,17.39,5.91,21.8,57.2,Safe
2026-03-16 08:55:37 UTC,7,9,16.57,5.84,21.8,57.1,Safe
2026-03-16 08:55:47 UTC,7,8,16.71,5.82,21.8,57.2,Safe
2026-03-16 08:55:57 UTC,7,8,17.48,5.91,21.7,57.3,Safe
2026-03-16 08:56:07 UTC,5,6,16.52,5.84,21.7,57.3,Safe
2026-03-16 08:56:17 UTC,6,7,17.23,5.91,21.7,57.3,Safe
2026-03-16 08:56:27 UTC,6,8,16.63,5.84,21.7,57.3,Safe
2026-03-16 08:56:37 UTC,6,7,17.48,5.96,21.7,57.3,Safe
2026-03-16 08:56:47 UTC,6,7,16.57,5.84,21.6,57.4,Safe
2026-03-16 08:56:57 UTC,6,7,17.31,5.94,21.6,57.6,Safe
2026-03-16 08:57:07 UTC,6,6,16.44,5.8,21.6,57.7,Safe
2026-03-16 08:57:17 UTC,7,8,17.23,5.96,21.6,57.8,Safe
2026-03-16 08:57:27 UTC,7,7,17.39,5.91,21.6,57.9,Safe
2026-03-16 08:57:37 UTC,7,7,17.11,5.91,21.6,57.8,Safe
2026-03-16 08:57:47 UTC,9,10,17.28,5.94,21.6,57.8,Safe
2026-03-16 08:57:57 UTC,9,9,16.79,5.84,21.6,57.8,Safe
2026-03-16 08:58:07 UTC,6,9,17.23,5.94,21.6,58.0,Safe
2026-03-16 08:58:17 UTC,21,30,16.84,5.91,21.6,58.0,Safe
2026-03-16 08:58:27 UTC,50,74,17.76,6.13,21.6,58.0,Safe
2026-03-16 08:58:37 UTC,56,82,17.11,6.1,21.5,58.1,Caution
2026-03-16 08:58:47 UTC,56,81,18.14,6.2,21.6,58.2,Caution
2026-03-16 08:58:57 UTC,53,75,16.84,6.03,21.5,58.2,Caution
2026-03-16 08:59:07 UTC,50,71,18.14,6.2,21.5,58.2,Safe
2026-03-16 08:59:17 UTC,45,64,17.28,6.08,21.5,58.1,Safe
2026-03-16 08:59:27 UTC,43,63,17.88,6.13,21.5,57.9,Safe
2026-03-16 08:59:37 UTC,42,59,17.68,6.15,21.5,57.8,Safe
2026-03-16 08:59:47 UTC,43,58,17.51,6.08,21.5,57.6,Safe
2026-03-16 08:59:57 UTC,43,59,18.14,6.2,21.5,57.3,Safe
2026-03-16 09:00:07 UTC,40,56,16.95,6.08,21.5,57.1,Safe
2026-03-16 09:00:17 UTC,40,59,18.17,6.23,21.5,57.0,Safe
2026-03-16 09:00:27 UTC,39,58,17.43,6.08,21.5,57.6,Safe
2026-03-16 09:00:37 UTC,40,63,18.14,6.23,21.5,58.4,Safe
2026-03-16 09:00:47 UTC,40,63,17.51,6.1,21.5,59.3,Safe
2026-03-16 09:00:57 UTC,40,60,18.43,6.2,21.6,60.3,Safe
2026-03-16 09:01:07 UTC,39,58,17.76,6.1,21.6,61.3,Safe
2026-03-16 09:01:17 UTC,39,57,18.34,6.25,21.6,61.9,Safe
2026-03-16 09:01:27 UTC,38,55,17.63,6.13,21.7,62.6,Safe
2026-03-16 09:01:37 UTC,38,56,18.05,6.18,21.7,63.6,Safe
2026-03-16 09:01:47 UTC,39,57,18.43,6.25,21.8,64.3,Safe
2026-03-16 09:01:57 UTC,38,53,17.59,6.13,21.8,65.0,Safe
2026-03-16 09:02:07 UTC,37,51,18.31,6.28,21.9,65.5,Safe
2026-03-16 09:02:17 UTC,37,51,17.76,6.13,21.9,65.9,Safe
2026-03-16 09:02:27 UTC,36,50,18.34,6.23,22.0,66.4,Safe
2026-03-16 09:02:37 UTC,35,46,17.85,6.15,22.0,66.9,Safe
2026-03-16 09:02:47 UTC,34,46,18.14,6.2,22.0,67.4,Safe
2026-03-16 09:02:57 UTC,34,44,17.76,6.1,22.1,67.9,Safe
2026-03-16 09:03:07 UTC,32,41,18.09,6.15,22.1,68.3,Safe
2026-03-16 09:03:17 UTC,28,37,17.59,6.1,22.1,68.5,Safe
2026-03-16 09:03:27 UTC,28,37,18.0,6.15,22.2,67.8,Safe
2026-03-16 09:03:37 UTC,27,35,17.43,6.08,22.2,66.9,Safe
2026-03-16 09:03:47 UTC,28,36,16.95,6.03,22.2,66.0,Safe
2026-03-16 09:03:57 UTC,27,36,18.09,6.15,22.2,65.2,Safe
2026-03-16 09:04:07 UTC,25,35,16.95,6.06,22.2,64.5,Safe
2026-03-16 09:04:17 UTC,24,35,18.22,6.18,22.2,63.8,Safe
2026-03-16 09:04:27 UTC,24,37,17.39,6.06,22.2,63.3,Safe
2026-03-16 09:04:37 UTC,24,33,18.14,6.18,22.2,63.0,Safe
2026-03-16 09:04:47 UTC,25,33,17.23,6.06,22.2,62.6,Safe
2026-03-16 09:04:57 UTC,26,36,18.17,6.13,22.2,62.3,Safe
2026-03-16 09:05:07 UTC,27,36,17.76,6.08,22.2,62.0,Safe
2026-03-16 09:05:17 UTC,26,34,18.14,6.15,23.9,77.8,Safe
2026-03-16 09:05:27 UTC,26,35,18.22,6.15,22.8,90.4,Safe
2026-03-16 09:05:37 UTC,27,31,18.14,6.15,22.3,94.0,Safe
2026-03-16 09:05:47 UTC,26,33,18.14,6.13,22.3,95.8,Safe
2026-03-16 09:05:57 UTC,24,33,17.56,6.06,22.3,88.3,Safe
2026-03-16 09:06:07 UTC,23,32,17.88,6.15,22.5,77.2,Safe
2026-03-16 09:06:17 UTC,22,31,16.95,6.01,22.5,70.6,Safe
2026-03-16 09:06:27 UTC,23,31,18.26,6.15,22.6,67.0,Safe
2026-03-16 09:06:37 UTC,22,29,17.43,6.06,22.6,65.3,Safe
2026-03-16 09:06:47 UTC,22,29,17.85,6.08,22.6,64.5,Safe
2026-03-16 09:06:57 UTC,21,27,17.56,6.03,22.7,64.3,Safe
2026-03-16 09:07:07 UTC,21,25,18.26,6.18,22.8,64.4,Safe
2026-03-16 09:07:17 UTC,22,30,17.07,6.01,22.8,64.6,Safe
2026-03-16 09:07:27 UTC,22,30,18.31,6.15,22.9,64.9,Safe
2026-03-16 09:07:37 UTC,21,26,18.38,6.15,23.0,65.4,Safe
2026-03-16 09:07:47 UTC,19,24,17.43,6.06,23.0,65.7,Safe
2026-03-16 09:07:57 UTC,18,24,18.22,6.13,23.1,66.1,Safe
2026-03-16 09:08:07 UTC,19,23,17.48,6.03,23.1,66.1,Safe
2026-03-16 09:08:17 UTC,21,24,18.14,6.13,23.2,65.6,Safe
2026-03-16 09:08:27 UTC,21,24,17.48,6.01,23.2,64.9,Safe
2026-03-16 09:08:37 UTC,21,23,18.17,6.13,23.2,64.1,Safe
2026-03-16 09:08:47 UTC,20,21,16.84,5.96,23.3,63.2,Safe
2026-03-16 09:08:57 UTC,18,19,18.14,6.13,23.3,62.5,Safe
2026-03-16 09:09:07 UTC,17,18,17.28,6.01,23.4,61.8,Safe
2026-03-16 09:09:17 UTC,15,21,18.14,6.13,23.3,61.2,Safe
2026-03-16 09:09:27 UTC,16,25,17.23,6.06,23.3,60.6,Safe
2026-03-16 09:09:37 UTC,15,23,17.59,6.06,23.3,60.3,Safe
2026-03-16 09:09:47 UTC,15,22,18.0,6.1,23.3,60.0,Safe
2026-03-16 09:09:57 UTC,16,22,17.28,6.01,23.3,59.6,Safe
2026-03-16 09:10:07 UTC,17,23,17.8,6.08,23.3,59.3,Safe
2026-03-16 09:10:17 UTC,17,21,17.23,5.98,23.3,59.0,Safe
2026-03-16 09:10:27 UTC,19,23,17.68,6.1,23.3,58.7,Safe
2026-03-16 09:10:37 UTC,18,23,17.15,5.98,23.3,58.2,Safe
2026-03-16 09:10:47 UTC,17,23,17.88,6.1,23.3,57.9,Safe
2026-03-16 09:10:57 UTC,17,23,16.84,5.91,23.3,57.7,Safe
2026-03-16 09:11:07 UTC,17,21,18.14,6.1,23.3,57.3,Safe
2026-03-16 09:11:17 UTC,16,22,17.23,5.98,23.2,57.0,Safe
2026-03-16 09:11:27 UTC,16,22,18.05,6.08,23.2,56.6,Safe
2026-03-16 09:11:37 UTC,16,23,16.79,5.89,23.2,56.4,Safe
2026-03-16 09:11:47 UTC,15,24,16.79,5.91,23.2,56.1,Safe
2026-03-16 09:11:57 UTC,16,25,17.97,6.08,23.2,56.0,Safe
2026-03-16 09:12:07 UTC,17,21,17.23,5.98,23.2,55.7,Safe
2026-03-16 09:12:17 UTC,15,20,17.76,6.08,23.1,55.4,Safe
2026-03-16 09:12:27 UTC,16,21,17.11,5.98,23.2,55.4,Safe
2026-03-16 09:12:37 UTC,15,21,17.76,6.08,23.1,55.8,Safe
2026-03-16 09:12:47 UTC,13,19,16.87,5.91,23.1,56.9,Safe
2026-03-16 09:12:57 UTC,14,19,17.97,6.08,23.1,58.3,Safe
2026-03-16 09:13:07 UTC,13,21,16.95,5.96,23.1,59.4,Safe
