Timestamp,PM25,PM10,MQ2_ADC,MQ7_ADC,Temp,Hum,Status
2026-03-18 08:04:38 UTC,24,27,233.82,257.99,31.2,53.3,Safe
2026-03-18 08:04:48 UTC,24,27,233.82,257.99,31.2,53.0,Safe
2026-03-18 08:04:58 UTC,23,25,212.94,241.6,31.1,52.1,Safe
2026-03-18 08:05:08 UTC,24,26,212.12,237.51,31.1,51.5,Safe
2026-03-18 08:05:18 UTC,23,26,217.03,241.6,31.0,51.1,Safe
2026-03-18 08:05:28 UTC,22,27,206.8,233.41,31.0,50.4,Safe
2026-03-18 08:05:38 UTC,23,27,235.05,257.99,30.9,50.4,Safe
2026-03-18 08:05:48 UTC,23,26,230.96,225.22,30.8,49.1,Safe
2026-03-18 08:05:58 UTC,37,44,242.01,274.37,26.8,75.7,Safe
2026-03-18 08:06:08 UTC,36,41,266.18,286.65,26.9,75.1,Safe
2026-03-18 08:06:18 UTC,36,42,239.97,270.27,26.9,74.9,Safe
2026-03-18 08:06:28 UTC,36,41,266.99,294.84,27.0,74.9,Safe
2026-03-18 08:06:38 UTC,36,41,266.99,294.84,27.0,74.8,Safe
2026-03-18 08:06:48 UTC,36,41,248.16,270.27,27.0,74.6,Safe
2026-03-18 08:06:58 UTC,36,42,262.08,294.84,27.0,74.3,Safe
2026-03-18 08:07:08 UTC,37,43,237.92,262.08,27.0,74.2,Safe
2026-03-18 08:07:18 UTC,37,45,271.91,290.75,27.1,74.1,Safe
2026-03-18 08:07:28 UTC,37,43,242.01,262.08,27.1,74.1,Safe
2026-03-18 08:07:38 UTC,37,41,266.99,286.65,27.1,74.1,Safe
2026-03-18 08:07:48 UTC,38,42,237.1,257.99,27.1,74.2,Safe
2026-03-18 08:07:58 UTC,38,43,269.04,286.65,27.1,74.2,Safe
2026-03-18 08:08:08 UTC,36,42,239.97,262.08,27.2,74.1,Safe
2026-03-18 08:08:18 UTC,36,43,255.94,274.37,27.2,73.5,Safe
2026-03-18 08:08:28 UTC,36,43,230.14,257.99,27.2,73.3,Safe
2026-03-18 08:08:38 UTC,36,42,260.03,290.75,27.2,73.2,Safe
2026-03-18 08:08:48 UTC,35,39,271.09,290.75,27.2,73.2,Safe
2026-03-18 08:08:58 UTC,34,39,244.06,262.08,27.2,73.6,Safe
2026-03-18 08:09:08 UTC,35,38,264.95,286.65,27.2,73.9,Safe
2026-03-18 08:09:18 UTC,35,42,246.11,266.18,27.3,74.1,Safe
2026-03-18 08:09:28 UTC,36,44,269.86,290.75,27.3,74.1,Safe
2026-03-18 08:09:38 UTC,36,44,239.97,257.99,27.3,74.1,Safe
2026-03-18 08:09:48 UTC,35,41,264.95,286.65,27.4,74.0,Safe
2026-03-18 08:09:58 UTC,35,42,239.97,257.99,27.4,73.5,Safe
2026-03-18 08:10:08 UTC,34,41,260.85,278.46,27.4,72.9,Safe
2026-03-18 08:10:18 UTC,33,39,248.98,266.18,27.4,72.7,Safe
2026-03-18 08:10:28 UTC,33,37,248.98,266.18,27.5,72.6,Safe
2026-03-18 08:10:38 UTC,32,33,237.92,249.79,27.5,72.3,Safe
2026-03-18 08:10:48 UTC,29,32,239.97,257.99,27.5,71.7,Safe
2026-03-18 08:10:58 UTC,30,34,262.08,274.37,27.5,71.8,Safe
