Timestamp,PM25,PM10,MQ2_PPM,MQ7_PPM,Temp,Hum,Status
2026-03-19 08:34:50 UTC,16,18,23.31,8.02,30.4,67.1,Safe
2026-03-19 08:35:00 UTC,14,16,23.21,7.99,30.3,66.3,Safe
2026-03-19 08:35:10 UTC,15,18,23.27,8.02,30.3,65.8,Safe
2026-03-19 08:35:20 UTC,14,20,23.31,8.02,30.4,65.3,Safe
2026-03-19 08:35:30 UTC,15,20,21.91,7.84,30.4,65.8,Safe
2026-03-19 08:35:40 UTC,16,21,23.16,8.02,30.4,66.2,Safe
2026-03-19 08:35:50 UTC,16,19,22.01,7.8,30.4,66.4,Safe
2026-03-19 08:36:00 UTC,14,18,23.42,8.02,30.4,66.6,Safe
2026-03-19 08:36:10 UTC,16,18,22.41,7.8,30.4,66.7,Safe
2026-03-19 08:36:20 UTC,16,20,23.1,8.02,30.4,66.8,Safe
2026-03-19 08:36:30 UTC,16,21,21.87,7.84,30.4,66.9,Safe
2026-03-19 08:36:40 UTC,15,18,23.42,8.02,30.5,67.0,Safe
2026-03-19 08:36:50 UTC,14,19,22.01,7.84,30.5,67.0,Safe
2026-03-19 08:37:00 UTC,15,19,23.47,8.02,30.5,67.1,Safe
2026-03-19 08:37:10 UTC,13,17,23.42,8.02,30.5,67.3,Safe
2026-03-19 08:37:20 UTC,13,17,21.95,7.8,30.5,67.2,Safe
2026-03-19 08:37:30 UTC,14,18,22.62,7.93,30.5,67.4,Safe
2026-03-19 08:37:40 UTC,15,19,32.71,9.03,30.5,67.6,Caution
2026-03-19 08:37:50 UTC,16,21,38.94,9.66,30.5,64.9,Caution
2026-03-19 08:38:00 UTC,15,20,37.29,9.25,30.5,62.9,Caution
2026-03-19 08:38:10 UTC,17,21,41.24,9.62,30.5,61.7,Caution
2026-03-19 08:38:20 UTC,16,21,38.07,9.21,30.5,60.7,Caution
2026-03-19 08:38:30 UTC,17,21,39.13,9.36,30.4,60.5,Caution
2026-03-19 08:38:40 UTC,18,20,35.35,8.96,30.4,60.2,Caution
2026-03-19 08:38:50 UTC,17,23,33.8,8.96,30.4,60.1,Caution
2026-03-19 08:39:00 UTC,18,25,35.29,9.21,30.4,60.6,Caution
2026-03-19 08:39:10 UTC,19,25,32.71,8.89,30.5,60.2,Safe
