Timestamp,PM25,PM10,Gas,CO,Temp,Hum,Status
2026-03-25 02:00:00 UTC,50,62,56.63,8.11,29.1,67.3,Caution
2026-03-25 02:00:10 UTC,48,62,62.74,8.51,29.1,65.4,Caution
2026-03-25 02:00:20 UTC,48,63,63.04,8.51,29.1,64.7,Caution
2026-03-25 02:00:30 UTC,47,59,62.62,8.44,29.1,64.5,Caution
2026-03-25 02:00:40 UTC,44,55,56.09,8.02,29.1,64.3,Caution
2026-03-25 02:00:50 UTC,43,56,56.09,8.02,29.1,64.0,Caution
2026-03-25 02:01:00 UTC,43,58,61.13,8.41,29.1,64.3,Caution
2026-03-25 02:01:10 UTC,45,61,54.67,7.99,29.0,64.6,Caution
2026-03-25 02:01:20 UTC,46,62,63.47,8.44,29.0,64.7,Caution
2026-03-25 02:01:30 UTC,48,65,56.36,7.99,29.1,64.8,Caution
2026-03-25 02:01:40 UTC,48,61,60.84,8.41,29.0,64.4,Caution
2026-03-25 02:01:50 UTC,49,64,56.47,8.02,29.0,64.1,Caution
2026-03-25 02:02:00 UTC,50,64,62.14,8.37,29.0,64.1,Caution
2026-03-25 02:02:10 UTC,48,61,57.67,7.99,29.0,64.2,Caution
2026-03-25 02:02:20 UTC,47,63,61.31,8.37,29.0,64.5,Caution
2026-03-25 02:02:30 UTC,47,62,62.14,8.37,29.0,64.6,Caution
2026-03-25 02:02:40 UTC,46,60,54.56,7.86,29.0,64.6,Caution
2026-03-25 02:02:50 UTC,49,61,59.18,8.15,29.0,64.6,Caution
2026-03-25 02:03:00 UTC,47,58,55.93,7.92,29.0,64.7,Caution
2026-03-25 02:03:10 UTC,47,58,63.04,8.37,29.0,64.9,Caution
2026-03-25 02:03:20 UTC,48,64,55.3,7.92,29.1,65.2,Caution
2026-03-25 02:03:30 UTC,48,63,61.31,8.41,29.1,65.6,Caution
2026-03-25 02:03:40 UTC,48,60,54.67,7.95,29.1,65.6,Caution
2026-03-25 02:03:50 UTC,46,61,58.33,8.05,29.1,65.5,Caution
2026-03-25 02:04:00 UTC,48,64,62.44,8.31,29.1,65.4,Caution
2026-03-25 02:04:10 UTC,49,65,61.84,8.41,29.1,65.4,Caution
2026-03-25 02:04:20 UTC,50,66,60.55,8.27,29.1,65.8,Caution
2026-03-25 02:04:30 UTC,49,64,56.2,7.92,29.1,66.2,Caution
2026-03-25 02:04:40 UTC,46,59,60.72,8.37,29.2,66.7,Caution
2026-03-25 02:04:50 UTC,46,60,51.93,7.74,29.1,66.9,Caution
2026-03-25 02:05:00 UTC,46,59,61.13,8.37,29.2,66.4,Caution
2026-03-25 02:05:10 UTC,47,62,54.56,7.83,29.2,66.0,Caution
2026-03-25 02:05:20 UTC,45,57,61.13,8.34,29.2,65.8,Caution
2026-03-25 02:05:30 UTC,46,60,54.56,7.86,29.2,65.8,Caution
2026-03-25 02:05:40 UTC,48,60,61.02,8.15,29.2,65.7,Caution
2026-03-25 02:05:50 UTC,49,64,55.45,7.95,29.2,65.6,Caution
2026-03-25 02:06:00 UTC,50,64,61.43,8.27,29.3,65.6,Caution
2026-03-25 02:06:10 UTC,50,64,60.15,8.27,29.3,65.6,Caution
2026-03-25 02:06:20 UTC,47,59,55.3,7.86,29.3,65.5,Caution
2026-03-25 02:06:30 UTC,46,57,61.31,8.27,29.3,65.5,Caution
2026-03-25 02:06:40 UTC,46,57,54.67,7.83,29.3,64.7,Caution
2026-03-25 02:06:50 UTC,44,55,61.02,8.24,29.3,63.8,Caution
2026-03-25 02:07:00 UTC,42,53,54.41,7.8,29.3,63.6,Caution
2026-03-25 02:07:10 UTC,42,53,60.32,8.24,29.3,63.7,Caution
2026-03-25 02:07:20 UTC,43,54,55.93,7.86,29.3,63.8,Caution
2026-03-25 02:07:30 UTC,43,57,60.43,8.15,29.3,64.3,Caution
2026-03-25 02:07:40 UTC,42,57,60.15,8.15,29.3,65.1,Caution
2026-03-25 02:07:50 UTC,42,53,60.03,8.15,29.3,65.5,Caution
2026-03-25 02:08:00 UTC,42,52,60.15,8.15,29.3,65.8,Caution
2026-03-25 02:08:10 UTC,41,52,54.15,7.83,29.3,65.9,Caution
2026-03-25 02:08:20 UTC,41,53,61.43,8.15,29.3,65.7,Caution
2026-03-25 02:08:30 UTC,42,55,53.43,7.77,29.3,65.5,Caution
2026-03-25 02:08:40 UTC,41,54,59.46,8.11,29.3,65.6,Caution
2026-03-25 02:08:50 UTC,43,55,54.56,7.77,29.3,65.1,Caution
2026-03-25 02:09:00 UTC,43,56,60.15,8.15,29.3,64.9,Caution
2026-03-25 02:09:10 UTC,42,54,51.0,7.65,29.3,65.3,Caution
2026-03-25 02:09:20 UTC,41,54,59.06,8.11,29.3,65.4,Caution
