Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Status
2026-04-30 07:34:50 UTC,16,18,3.97,0.67,30.4,67.1,Safe
2026-04-30 07:35:00 UTC,14,16,3.97,0.67,30.3,66.3,Safe
2026-04-30 07:35:10 UTC,15,18,3.97,0.67,30.3,65.8,Safe
2026-04-30 07:35:20 UTC,14,20,3.97,0.67,30.4,65.3,Safe
2026-04-30 07:35:30 UTC,15,20,3.89,0.66,30.4,65.8,Safe
2026-04-30 07:35:40 UTC,16,21,3.96,0.67,30.4,66.2,Safe
2026-04-30 07:35:50 UTC,16,19,3.9,0.66,30.4,66.4,Safe
2026-04-30 07:36:00 UTC,14,18,3.98,0.67,30.4,66.6,Safe
2026-04-30 07:36:10 UTC,16,18,3.92,0.66,30.4,66.7,Safe
2026-04-30 07:36:20 UTC,16,20,3.96,0.67,30.4,66.8,Safe
2026-04-30 07:36:30 UTC,16,21,3.89,0.66,30.4,66.9,Safe
2026-04-30 07:36:40 UTC,15,18,3.98,0.67,30.5,67,Safe
2026-04-30 07:36:50 UTC,14,19,3.9,0.66,30.5,67,Safe
2026-04-30 07:37:00 UTC,15,19,3.98,0.67,30.5,67.1,Safe
2026-04-30 07:37:10 UTC,13,17,3.98,0.67,30.5,67.3,Safe
2026-04-30 07:37:20 UTC,13,17,3.9,0.66,30.5,67.2,Safe
2026-04-30 07:37:30 UTC,14,18,3.93,0.67,30.5,67.4,Safe
2026-04-30 07:37:40 UTC,15,19,4.43,0.72,30.5,67.6,Caution
2026-04-30 07:37:50 UTC,16,21,4.69,0.76,30.5,64.9,Caution
2026-04-30 07:38:00 UTC,15,20,4.63,0.74,30.5,62.9,Caution
2026-04-30 07:38:10 UTC,17,21,4.78,0.75,30.5,61.7,Caution
2026-04-30 07:38:20 UTC,16,21,4.66,0.73,30.5,60.7,Caution
2026-04-30 07:38:30 UTC,17,21,4.7,0.74,30.4,60.5,Caution
2026-04-30 07:38:40 UTC,18,20,4.55,0.72,30.4,60.2,Caution
2026-04-30 07:38:50 UTC,17,23,4.48,0.72,30.4,60.1,Caution
2026-04-30 07:39:00 UTC,18,25,4.55,0.73,30.4,60.6,Caution
2026-04-30 07:39:10 UTC,19,25,4.43,0.72,30.5,60.2,Safe
