Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Status
2026-05-01 07:30:07 UTC,50,62,5.30,0.78,29.1,67.3,Caution
2026-05-01 07:30:17 UTC,48,62,5.48,0.81,29.1,65.4,Caution
2026-05-01 07:30:27 UTC,48,63,5.49,0.81,29.1,64.7,Caution
2026-05-01 07:30:37 UTC,47,59,5.48,0.8,29.1,64.5,Caution
2026-05-01 07:30:47 UTC,44,55,5.29,0.78,29.1,64.3,Caution
2026-05-01 07:30:57 UTC,43,56,5.29,0.78,29.1,64,Caution
2026-05-01 07:31:07 UTC,43,58,5.43,0.8,29.1,64.3,Caution
2026-05-01 07:31:17 UTC,45,61,5.24,0.78,29,64.6,Caution
2026-05-01 07:31:27 UTC,46,62,5.50,0.8,29,64.7,Caution
2026-05-01 07:31:37 UTC,48,65,5.29,0.78,29.1,64.8,Caution
2026-05-01 07:31:47 UTC,48,61,5.43,0.8,29,64.4,Caution
2026-05-01 07:31:57 UTC,49,64,5.30,0.78,29,64.1,Caution
2026-05-01 07:32:07 UTC,50,64,5.46,0.8,29,64.1,Caution
2026-05-01 07:32:17 UTC,48,61,5.33,0.78,29,64.2,Caution
2026-05-01 07:32:27 UTC,47,63,5.44,0.8,29,64.5,Caution
2026-05-01 07:32:37 UTC,47,62,5.46,0.8,29,64.6,Caution
2026-05-01 07:32:47 UTC,46,60,5.24,0.77,29,64.6,Caution
2026-05-01 07:32:57 UTC,49,61,5.38,0.78,29,64.6,Caution
2026-05-01 07:33:07 UTC,47,58,5.28,0.77,29,64.7,Caution
2026-05-01 07:33:17 UTC,47,58,5.49,0.8,29,64.9,Caution
2026-05-01 07:33:27 UTC,48,64,5.26,0.77,29.1,65.2,Caution
2026-05-01 07:33:37 UTC,48,63,5.44,0.8,29.1,65.6,Caution
2026-05-01 07:33:47 UTC,48,60,5.24,0.77,29.1,65.6,Caution
2026-05-01 07:33:57 UTC,46,61,5.35,0.78,29.1,65.5,Caution
2026-05-01 07:34:07 UTC,48,64,5.47,0.79,29.1,65.4,Caution
2026-05-01 07:34:17 UTC,49,65,5.46,0.8,29.1,65.4,Caution
2026-05-01 07:34:27 UTC,50,66,5.42,0.79,29.1,65.8,Caution
2026-05-01 07:34:37 UTC,49,64,5.29,0.77,29.1,66.2,Caution
2026-05-01 07:34:47 UTC,46,59,5.42,0.8,29.2,66.7,Caution
2026-05-01 07:34:57 UTC,46,60,5.16,0.76,29.1,66.9,Caution
2026-05-01 07:35:07 UTC,46,59,5.43,0.8,29.2,66.4,Caution
2026-05-01 07:35:17 UTC,47,62,5.24,0.77,29.2,66,Caution
2026-05-01 07:35:27 UTC,45,57,5.43,0.8,29.2,65.8,Caution
2026-05-01 07:35:37 UTC,46,60,5.24,0.77,29.2,65.8,Caution
2026-05-01 07:35:47 UTC,48,60,5.43,0.78,29.2,65.7,Caution
2026-05-01 07:35:57 UTC,49,64,5.27,0.77,29.2,65.6,Caution
2026-05-01 07:36:07 UTC,50,64,5.44,0.79,29.3,65.6,Caution
2026-05-01 07:36:17 UTC,50,64,5.41,0.79,29.3,65.6,Caution
