Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Status
2026-05-05 15:15:24 UTC,17,20,11.84,2.53,30.5,52.4,Safe
2026-05-05 15:15:34 UTC,9,11,12.17,2.59,30.4,52.5,Safe
2026-05-05 15:15:44 UTC,16,14,12.54,2.5,30.6,52.1,Safe
2026-05-05 15:15:54 UTC,16,14,12.2,3.05,30.6,52.5,Safe
2026-05-05 15:16:04 UTC,11,23,10.5,2.27,30.7,52.2,Safe
2026-05-05 15:16:14 UTC,11,15,12.29,2.05,30.5,52.4,Safe
2026-05-05 15:16:24 UTC,13,16,12.41,2.61,30.5,52.2,Safe
2026-05-05 15:16:34 UTC,9,16,12.01,2.27,30.6,52.9,Safe
2026-05-05 15:16:44 UTC,17,19,12.75,2.35,30.5,52.6,Safe
2026-05-05 15:16:54 UTC,15,15,11.52,2.7,30.6,52.7,Safe
2026-05-05 15:17:04 UTC,9,15,10.01,2.9,30.4,52.2,Safe
2026-05-05 15:17:14 UTC,13,15,13.27,2.58,30.5,52.5,Safe
2026-05-05 15:17:24 UTC,10,14,13.69,2.52,30.5,52.4,Safe
2026-05-05 15:17:34 UTC,11,21,12.63,1.91,30.4,52.4,Safe
2026-05-05 15:17:44 UTC,10,20,11.48,2.77,30.4,52.6,Safe
2026-05-05 15:17:54 UTC,13,21,12.15,2.46,30.4,52.5,Safe
2026-05-05 15:18:04 UTC,10,17,10.39,2.56,30.5,52.7,Safe
2026-05-05 15:18:14 UTC,8,16,12.89,2.53,30.5,52.3,Safe
2026-05-05 15:18:24 UTC,11,19,11.34,2.49,30.4,52.9,Safe
2026-05-05 15:18:34 UTC,11,15,11.72,2.19,30.5,52.1,Safe
2026-05-05 15:18:44 UTC,8,31,12.15,3.36,30.5,52.4,Safe
2026-05-05 15:18:54 UTC,11,25,12.14,3.8,30.4,52.6,Safe
2026-05-05 15:19:04 UTC,14,11,12.68,3.53,30.5,52.4,Safe
2026-05-05 15:19:14 UTC,23,28,12.36,5.14,30.5,52.6,Safe
2026-05-05 15:19:24 UTC,17,38,13.63,5.42,30.7,52.5,Safe
2026-05-05 15:19:34 UTC,29,48,13.41,7.03,30.5,52.5,Safe
2026-05-05 15:19:44 UTC,38,49,14.74,8.53,30.5,52.7,Safe
2026-05-05 15:19:54 UTC,43,52,14.21,8.77,30.6,51.8,Safe
2026-05-05 15:20:04 UTC,32,55,14.33,10.01,30.5,52.6,Caution
2026-05-05 15:20:14 UTC,41,54,14.39,9.75,30.5,52,Hazardous
2026-05-05 15:20:24 UTC,46,71,15.22,11.57,30.7,52,Caution
2026-05-05 15:20:34 UTC,53,68,14.07,11.77,30.7,52.2,Caution
2026-05-05 15:20:44 UTC,59,109,14.76,12.88,30.6,51.9,Caution
2026-05-05 15:20:54 UTC,52,78,15.26,14.21,30.3,52.1,Caution
2026-05-05 15:21:04 UTC,68,90,15.62,13.79,30.7,52,Caution
2026-05-05 15:21:14 UTC,74,91,16.33,16.02,30.6,51.9,Caution
2026-05-05 15:21:24 UTC,72,88,15.95,15.8,30.7,51.8,Caution
2026-05-05 15:21:34 UTC,67,100,15.73,17.83,30.8,52,Caution
2026-05-05 15:21:44 UTC,87,114,16.37,18.58,30.8,51.8,Caution
2026-05-05 15:21:54 UTC,84,117,16.83,18.78,30.8,51.9,Caution
2026-05-05 15:22:04 UTC,84,117,17.92,19.83,30.8,51.6,Caution
2026-05-05 15:22:14 UTC,89,133,17.25,20.07,30.8,51.8,Caution
2026-05-05 15:22:24 UTC,95,138,17.46,21.52,30.6,51.5,Caution
2026-05-05 15:22:34 UTC,108,129,17.89,23.12,31,51.6,Caution
2026-05-05 15:22:44 UTC,99,146,18.39,23.69,30.7,51.7,Caution
2026-05-05 15:22:54 UTC,104,148,18.35,23.18,30.8,51.3,Caution
2026-05-05 15:23:04 UTC,121,145,18.83,24.44,30.8,51.3,Caution
2026-05-05 15:23:14 UTC,101,153,19.56,25.83,30.7,51.3,Caution
2026-05-05 15:23:24 UTC,119,159,19.21,27.09,30.7,51.5,Caution
2026-05-05 15:23:34 UTC,111,179,19.99,27.14,30.8,51.4,Caution
2026-05-05 15:23:44 UTC,104,183,19.59,30.08,30.9,51.3,Hazardous
2026-05-05 15:23:54 UTC,134,224,20.19,32.82,30.8,51.3,Hazardous
2026-05-05 15:24:04 UTC,196,252,19.99,36.07,30.9,51,Hazardous
2026-05-05 15:24:14 UTC,181,249,20.23,39.73,30.8,50.9,Hazardous
2026-05-05 15:24:24 UTC,227,301,20.15,39.18,30.9,51.1,Hazardous
2026-05-05 15:24:34 UTC,229,296,20.95,44.33,31.1,50.8,Hazardous
2026-05-05 15:24:44 UTC,245,302,21.98,44.15,30.9,50.4,Hazardous
2026-05-05 15:24:54 UTC,255,344,22.72,46.99,30.9,51.2,Hazardous
2026-05-05 15:25:04 UTC,273,342,22.58,44.52,31,50.8,Hazardous
2026-05-05 15:25:14 UTC,278,374,21.23,48.49,30.9,50.9,Hazardous
2026-05-05 15:25:24 UTC,288,392,23.98,49.5,30.9,50.5,Hazardous
2026-05-05 15:25:34 UTC,316,419,23.94,52.95,31.1,50.9,Hazardous
2026-05-05 15:25:44 UTC,289,413,25.04,52.17,31,50.8,Hazardous
2026-05-05 15:25:54 UTC,322,435,24.35,52.61,31.2,50.4,Hazardous
2026-05-05 15:26:04 UTC,321,468,24.57,54.56,31.1,50.6,Hazardous
2026-05-05 15:26:14 UTC,338,459,25.66,55.38,31.3,50.6,Hazardous
2026-05-05 15:26:24 UTC,367,493,26.61,58.68,31,50.4,Hazardous
2026-05-05 15:26:34 UTC,385,492,26.99,56.57,31.1,50.2,Hazardous
2026-05-05 15:26:44 UTC,401,465,26.28,59.49,31.1,49.9,Hazardous
2026-05-05 15:26:54 UTC,360,471,27.95,62.56,31.3,50,Hazardous
2026-05-05 15:27:04 UTC,375,479,27.8,63.36,31.3,50,Hazardous
2026-05-05 15:27:14 UTC,381,496,27.99,63.03,31.2,50.2,Hazardous
2026-05-05 15:27:24 UTC,380,524,27.35,64.86,31.3,50,Hazardous
2026-05-05 15:27:34 UTC,396,542,28.87,64.46,31.3,49.8,Hazardous
2026-05-05 15:27:44 UTC,443,551,28.97,69.06,31.4,49.6,Hazardous
2026-05-05 15:27:54 UTC,438,564,28.59,70.16,31.5,49.8,Hazardous
2026-05-05 15:28:04 UTC,445,556,30.04,69.55,31.4,49.8,Hazardous
2026-05-05 15:28:14 UTC,436,516,29.84,69.99,31.3,50,Hazardous
2026-05-05 15:28:24 UTC,440,591,31.75,72.16,31.5,49.8,Hazardous
2026-05-05 15:28:34 UTC,463,574,29.98,72.57,31.5,49.6,Hazardous
2026-05-05 15:28:44 UTC,459,576,30.37,73.73,31.3,49.2,Hazardous
2026-05-05 15:28:54 UTC,479,617,31.22,76.37,31.7,49.7,Hazardous
2026-05-05 15:29:04 UTC,470,591,32.25,76.98,31.3,49.3,Hazardous
2026-05-05 15:29:14 UTC,487,568,32.7,75.04,31.7,49.4,Hazardous
2026-05-05 15:29:24 UTC,490,635,33.22,78.09,31.6,49.3,Hazardous
2026-05-05 15:29:34 UTC,516,631,34.25,79.92,31.5,49.2,Hazardous
2026-05-05 15:29:44 UTC,480,609,33.25,80.79,31.6,48.9,Hazardous
2026-05-05 15:29:54 UTC,498,680,34.61,82.51,31.8,48.7,Hazardous
2026-05-05 15:30:04 UTC,524,675,34.84,82.97,31.5,49.2,Hazardous
2026-05-05 15:30:14 UTC,547,659,34.72,82.36,31.7,48.6,Hazardous
2026-05-05 15:30:24 UTC,480,616,35.59,83.83,31.8,48.9,Hazardous
2026-05-05 15:30:34 UTC,461,607,35.31,79.96,31.8,49.2,Hazardous
2026-05-05 15:30:44 UTC,428,607,31.94,76.16,31.7,48.8,Hazardous
2026-05-05 15:30:54 UTC,427,578,33.25,76.52,31.4,49.5,Hazardous
2026-05-05 15:31:04 UTC,446,562,32.04,76.47,31.6,49.2,Hazardous
2026-05-05 15:31:14 UTC,407,541,30.7,71.06,31.4,49,Hazardous
2026-05-05 15:31:24 UTC,405,561,29.46,69.92,31.5,49.4,Hazardous
2026-05-05 15:31:34 UTC,365,480,29.71,65.93,31.5,49.6,Hazardous
2026-05-05 15:31:44 UTC,345,488,27.69,62.66,31.3,49.8,Hazardous
2026-05-05 15:31:54 UTC,350,430,28,61.23,31.4,49.9,Hazardous
2026-05-05 15:32:04 UTC,351,403,28.23,57.08,31.4,50.5,Hazardous
2026-05-05 15:32:14 UTC,325,491,26.03,52.18,31.3,50.3,Hazardous
2026-05-05 15:32:24 UTC,312,355,25.08,51.44,31.5,50.2,Hazardous
2026-05-05 15:32:34 UTC,317,360,25.63,48.3,31.2,50.3,Hazardous
