Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Status
2026-05-03 19:05:38 UTC,1449,2129,13.28,1.06,40.2,45,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:05:48 UTC,828,1027,9.65,1.09,38.7,43.2,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:05:58 UTC,851,1077,12.7,1.24,39.8,30.9,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:06:08 UTC,1415,2214,16.57,1.2,41.5,41.6,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:06:18 UTC,860,1313,23.95,1.17,43.5,31.2,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:06:28 UTC,1165,1721,18.87,1.25,41.8,38.8,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:06:38 UTC,1126,1415,20.53,1.16,41.1,48.7,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:06:48 UTC,1320,1703,9.11,1.35,46.2,50.4,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:06:58 UTC,885,1070,14.52,1.21,38.4,43.4,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:07:08 UTC,386,523,9.6,1.09,42.3,39.4,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:07:18 UTC,1204,1523,10.74,1.2,39.4,38.4,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:07:28 UTC,846,1335,17.62,1.34,45.8,47,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:07:38 UTC,1337,1716,23.54,1.26,43.1,51,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:07:48 UTC,1084,1677,11.11,1.37,47.2,35.1,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:07:58 UTC,559,780,12.91,1.17,41.3,51.8,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:08:08 UTC,1271,1946,23.28,1.08,40.6,50.8,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:08:18 UTC,461,616,20.66,1.39,45.1,46.1,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:08:28 UTC,848,1205,16.27,1.27,34.1,43.2,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:08:38 UTC,308,418,14.17,1.11,34.8,44.2,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:08:48 UTC,979,1314,9.13,1.14,42.9,41.3,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:08:58 UTC,1196,1716,9.38,1.08,39.5,48.9,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:09:08 UTC,392,505,9.83,1.3,36.5,37.6,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:09:18 UTC,1488,2226,9.84,1.22,43.7,44.5,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:09:28 UTC,970,1262,10.09,1.11,45.8,42.6,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:09:38 UTC,879,1227,16.53,1.24,34.4,35,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:09:48 UTC,558,872,20.17,1.26,46.6,34.9,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:09:58 UTC,445,593,13.29,1.38,36.4,50.7,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:10:08 UTC,1051,1521,9.33,1.37,46.4,46.5,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:10:18 UTC,502,772,14.08,1.1,38.8,40.6,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:10:28 UTC,567,883,14.32,1.2,34.8,43.8,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:10:38 UTC,1456,1986,12.82,1.19,38.6,38.7,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:10:48 UTC,982,1247,12.2,1.31,41,32,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:10:58 UTC,645,856,18.24,1.08,43.9,34.5,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:11:08 UTC,453,704,11.69,1.29,43.7,41.4,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:11:18 UTC,1119,1653,9.82,1.23,38.4,48.8,Hazardous (Fire Detected — Evacuate)
2026-05-03 19:11:28 UTC,665,1041,19.19,1.2,38.1,33.9,Hazardous (Fire Detected — Evacuate)
