Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Status
2026-05-03 10:51:03 UTC,100,102,9.2,1.11,35.5,48.8,Hazardous (Wear Mask)
2026-05-03 10:51:13 UTC,102,105,8.51,1.02,35.5,49.3,Hazardous (Wear Mask)
2026-05-03 10:51:23 UTC,102,104,9.06,1.08,35.6,49.6,Hazardous (Wear Mask)
2026-05-03 10:51:33 UTC,101,102,8.38,1.03,35.6,49.4,Hazardous (Wear Mask)
2026-05-03 10:51:43 UTC,102,104,9.31,1.11,35.6,49.4,Hazardous (Wear Mask)
2026-05-03 10:51:53 UTC,102,104,8.38,1.04,35.7,49.2,Hazardous (Wear Mask)
2026-05-03 10:52:03 UTC,103,106,9.25,1.09,35.7,48.4,Hazardous (Wear Mask)
2026-05-03 10:52:13 UTC,107,108,8.34,1.02,35.7,48.7,Hazardous (Wear Mask)
2026-05-03 10:52:23 UTC,109,112,8.39,1.02,35.7,48,Hazardous (Wear Mask)
2026-05-03 10:52:33 UTC,108,110,9.19,1.08,35.7,47.6,Hazardous (Wear Mask)
2026-05-03 10:52:43 UTC,110,111,8.34,1.02,35.7,49.4,Hazardous (Wear Mask)
2026-05-03 10:52:53 UTC,111,112,9.2,1.09,35.6,48.1,Hazardous (Wear Mask)
2026-05-03 10:53:03 UTC,110,110,8.36,1.02,35.6,47.8,Hazardous (Wear Mask)
2026-05-03 10:53:13 UTC,110,113,9.23,1.1,35.6,47.6,Hazardous (Wear Mask)
2026-05-03 10:53:23 UTC,110,111,8.36,1.02,35.6,47.3,Hazardous (Wear Mask)
2026-05-03 10:53:33 UTC,107,110,9.06,1.08,35.7,47.4,Hazardous (Wear Mask)
2026-05-03 10:53:43 UTC,103,108,8.38,1.03,35.7,47.5,Hazardous (Wear Mask)
2026-05-03 10:53:53 UTC,107,109,9.07,1.08,35.7,47.7,Hazardous (Wear Mask)
2026-05-03 10:54:03 UTC,107,108,9.2,1.11,35.6,47.9,Hazardous (Wear Mask)
2026-05-03 10:54:13 UTC,108,110,8.19,1.01,35.5,48.1,Hazardous (Wear Mask)
2026-05-03 10:54:23 UTC,109,110,9.29,1.1,35.5,49.3,Hazardous (Wear Mask)
2026-05-03 10:54:33 UTC,110,110,8.46,1.03,35.5,49.1,Hazardous (Wear Mask)
2026-05-03 10:54:43 UTC,106,106,9.2,1.11,35.6,48.5,Hazardous (Wear Mask)
2026-05-03 10:54:53 UTC,106,106,8.34,1.02,35.5,48,Hazardous (Wear Mask)
2026-05-03 10:55:03 UTC,106,107,9.26,1.1,35.5,48,Hazardous (Wear Mask)
2026-05-03 10:55:13 UTC,106,107,8.46,1.03,35.5,48.7,Hazardous (Wear Mask)
2026-05-03 10:55:23 UTC,106,106,9.2,1.09,35.6,49.3,Hazardous (Wear Mask)
2026-05-03 10:55:33 UTC,102,103,9.25,1.11,35.6,48.6,Hazardous (Wear Mask)
2026-05-03 10:55:43 UTC,89,90,8.3,1.02,35.6,47.6,Hazardous (Wear Mask)
2026-05-03 10:55:53 UTC,73,81,9.26,1.1,35.6,47.7,Hazardous (Wear Mask)
2026-05-03 10:56:03 UTC,68,79,8.38,1.04,35.6,47.9,Hazardous (Wear Mask)
2026-05-03 10:56:13 UTC,76,83,9.25,1.09,35.6,47.5,Hazardous (Wear Mask)
