Timestamp,PM25,PM10,MQ2_ppm,MQ7_ppm,Temp,Hum,Status
2026-03-26 00:00:00 UTC,41,48,240.8,13.8,31.9,63.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:00:10 UTC,38,43,139.4,13,32,63.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:00:20 UTC,29,29,257.4,23.9,34.5,57.8,Hazardous (VOC - Wear Mask)
2026-03-26 00:00:30 UTC,29,30,344.1,36.4,34.5,57.7,Hazardous (VOC - Wear Mask)
2026-03-26 00:00:40 UTC,28,30,348,29.8,34.5,57.6,Hazardous (VOC - Wear Mask)
2026-03-26 00:00:50 UTC,27,29,332.1,27.7,34.5,57.5,Hazardous (VOC - Wear Mask)
2026-03-26 00:01:00 UTC,27,29,289.6,23.8,34.5,57.4,Hazardous (VOC - Wear Mask)
2026-03-26 00:01:10 UTC,27,29,289.6,23.7,34.6,57.4,Hazardous (VOC - Wear Mask)
2026-03-26 00:01:20 UTC,29,31,327,26.8,34.6,57.4,Hazardous (VOC - Wear Mask)
2026-03-26 00:01:30 UTC,28,32,332.4,29,34.6,57.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:01:40 UTC,27,34,289.6,30.8,34.6,57.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:01:50 UTC,28,34,311.1,29.7,34.6,57.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:02:00 UTC,27,34,337.5,33.5,34.6,57.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:02:10 UTC,27,33,347,34,34.6,57.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:02:20 UTC,28,32,282.8,28.7,34.6,57.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:02:30 UTC,27,29,337.7,31.9,34.6,57,Hazardous (VOC - Wear Mask)
2026-03-26 00:02:40 UTC,27,28,293.3,30.9,34.6,57.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:02:50 UTC,27,30,325,38.5,34.7,57,Hazardous (VOC - Wear Mask)
2026-03-26 00:03:00 UTC,29,32,272,34.6,34.7,57,Hazardous (VOC - Wear Mask)
2026-03-26 00:03:10 UTC,29,29,276.2,41.2,34.7,57,Hazardous (VOC - Wear Mask)
2026-03-26 00:03:20 UTC,31,32,306.2,39.5,34.7,57,Hazardous (VOC - Wear Mask)
2026-03-26 00:03:30 UTC,30,35,311.4,44.5,34.7,57.1,Hazardous (VOC - Wear Mask)
2026-03-26 00:03:40 UTC,31,34,330.9,39.7,34.7,57,Hazardous (VOC - Wear Mask)
2026-03-26 00:03:50 UTC,31,35,318.2,29.7,34.7,57,Hazardous (VOC - Wear Mask)
2026-03-26 00:04:00 UTC,28,31,254,29.5,34.7,56.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:04:10 UTC,30,31,284.7,35.1,34.7,57,Hazardous (VOC - Wear Mask)
2026-03-26 00:04:20 UTC,29,31,276.9,39.1,34.7,56.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:04:30 UTC,30,32,279.6,39.6,34.7,56.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:04:40 UTC,29,31,268.9,43.4,34.7,56.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:04:50 UTC,28,31,302.1,42.2,34.7,56.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:05:00 UTC,27,30,281.3,42,34.7,56.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:05:10 UTC,27,29,289.4,45.1,34.7,56.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:05:20 UTC,27,29,284,43.4,34.7,56.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:05:30 UTC,28,31,261.8,41.8,34.8,56.8,Hazardous (VOC - Wear Mask)
2026-03-26 00:05:40 UTC,28,30,267.2,42.3,34.7,56.8,Hazardous (VOC - Wear Mask)
2026-03-26 00:05:50 UTC,26,28,275,43.4,34.8,56.8,Hazardous (VOC - Wear Mask)
2026-03-26 00:06:00 UTC,27,30,269.6,44,34.8,56.8,Hazardous (VOC - Wear Mask)
2026-03-26 00:06:10 UTC,28,32,277.7,40.6,34.8,56.7,Hazardous (VOC - Wear Mask)
2026-03-26 00:06:20 UTC,26,33,288.4,45,34.8,56.8,Hazardous (VOC - Wear Mask)
2026-03-26 00:06:30 UTC,27,32,296.9,36.6,34.8,56.7,Hazardous (VOC - Wear Mask)
2026-03-26 00:06:40 UTC,28,31,281.8,39.1,34.8,56.7,Hazardous (VOC - Wear Mask)
2026-03-26 00:06:50 UTC,29,32,290.1,40.8,34.8,56.7,Hazardous (VOC - Wear Mask)
2026-03-26 00:07:00 UTC,30,36,271.3,39.1,34.8,56.6,Hazardous (VOC - Wear Mask)
2026-03-26 00:07:10 UTC,30,37,255.7,40.5,34.8,56.8,Hazardous (VOC - Wear Mask)
2026-03-26 00:07:20 UTC,27,34,248.6,39.5,34.8,56.6,Hazardous (VOC - Wear Mask)
2026-03-26 00:07:30 UTC,27,33,264.7,41.8,34.8,56.6,Hazardous (VOC - Wear Mask)
2026-03-26 00:07:40 UTC,27,31,261.5,41.1,34.8,56.5,Hazardous (VOC - Wear Mask)
2026-03-26 00:07:50 UTC,26,32,254.5,41.2,34.8,56.5,Hazardous (VOC - Wear Mask)
2026-03-26 00:08:00 UTC,26,31,270.3,40.8,34.8,56.6,Hazardous (VOC - Wear Mask)
2026-03-26 00:08:10 UTC,27,30,269.4,42.8,34.8,56.5,Hazardous (VOC - Wear Mask)
2026-03-26 00:08:20 UTC,27,29,258.6,38.5,34.9,56.5,Hazardous (VOC - Wear Mask)
2026-03-26 00:08:30 UTC,28,30,278.9,43.4,34.9,56.5,Hazardous (VOC - Wear Mask)
2026-03-26 00:08:40 UTC,27,32,280.8,36.9,34.9,56.4,Hazardous (VOC - Wear Mask)
2026-03-26 00:08:50 UTC,28,32,293,38.6,34.9,56.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:09:00 UTC,27,31,257.6,36.8,34.9,56.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:09:10 UTC,28,32,285,41.1,34.9,56.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:09:20 UTC,26,32,254.2,40.9,34.9,56.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:09:30 UTC,26,31,256.9,39.6,34.9,56.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:09:40 UTC,25,30,287.4,45.5,34.9,56.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:09:50 UTC,26,30,301.1,40,34.9,56.4,Hazardous (VOC - Wear Mask)
2026-03-26 00:10:00 UTC,25,29,247.4,34.4,34.9,56.5,Hazardous (VOC - Wear Mask)
2026-03-26 00:10:10 UTC,25,30,270.6,30.1,34.9,56.5,Hazardous (VOC - Wear Mask)
2026-03-26 00:10:20 UTC,25,29,229.1,24.5,34.9,56.4,Hazardous (VOC - Wear Mask)
2026-03-26 00:10:30 UTC,25,28,234.4,27,34.9,56.4,Hazardous (VOC - Wear Mask)
2026-03-26 00:10:40 UTC,25,28,215.1,26.7,34.9,56.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:10:50 UTC,24,25,207.1,31.3,34.9,56.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:11:00 UTC,24,24,280.8,38.8,34.9,56.3,Hazardous (VOC - Wear Mask)
2026-03-26 00:11:10 UTC,24,25,268.4,34.6,34.9,56.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:11:20 UTC,26,28,269.8,29.8,34.9,56.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:11:30 UTC,26,28,195.6,31.1,34.9,56.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:11:40 UTC,26,29,287.4,41,34.9,56.1,Hazardous (VOC - Wear Mask)
2026-03-26 00:11:50 UTC,23,28,209.3,35.7,34.9,56.2,Hazardous (VOC - Wear Mask)
2026-03-26 00:12:00 UTC,26,29,258.9,35.1,34.9,56.1,Hazardous (VOC - Wear Mask)
2026-03-26 00:12:10 UTC,27,29,240.8,33.2,34.9,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:12:20 UTC,28,29,225.6,31.7,34.9,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:12:30 UTC,29,31,245.4,31.7,35,56.1,Hazardous (VOC - Wear Mask)
2026-03-26 00:12:40 UTC,27,30,252.5,37.5,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:12:50 UTC,27,30,255.7,28.9,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:13:00 UTC,27,30,256.2,33.3,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:13:10 UTC,27,31,254.2,29.8,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:13:20 UTC,28,33,183.6,26.3,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:13:30 UTC,26,31,249.3,29.4,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:13:40 UTC,25,27,230.5,29.4,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:13:50 UTC,27,29,252.7,32,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:14:00 UTC,27,29,255.4,33.7,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:14:10 UTC,28,29,222.7,30.9,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:14:20 UTC,28,31,265.7,34.8,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:14:30 UTC,27,29,246.4,30.2,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:14:40 UTC,28,31,249.8,36.3,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:14:50 UTC,26,30,238.1,32.5,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:15:00 UTC,26,29,240.5,35.6,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:15:10 UTC,26,31,269.6,37.5,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:15:20 UTC,27,31,228.3,31.6,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:15:30 UTC,27,30,197.6,27.9,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:15:40 UTC,28,30,286.9,35.5,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:15:50 UTC,29,31,269.6,32.4,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:16:00 UTC,28,32,214.9,30.6,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:16:10 UTC,28,32,247.4,29.4,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:16:20 UTC,28,31,243.2,30.5,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:16:30 UTC,29,32,220,28,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:16:40 UTC,27,30,248.6,33.1,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:16:50 UTC,28,32,269.6,41.3,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:17:00 UTC,29,33,266.2,30.7,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:17:10 UTC,29,31,262.5,35.9,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:17:20 UTC,28,31,247.9,31.3,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:17:30 UTC,26,28,263,27.6,35,56,Hazardous (VOC - Wear Mask)
2026-03-26 00:17:40 UTC,27,30,228.8,29.4,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:17:50 UTC,30,32,235.7,29,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:18:00 UTC,30,30,265.7,31.9,35,55.9,Hazardous (VOC - Wear Mask)
2026-03-26 00:18:10 UTC,28,29,249.3,29.7,35,55.9,Hazardous (VOC - Wear Mask)
