Timestamp,PM2.5,PM10,Gas,CO,Temp,Hum,Status
2026-05-02 18:26:45 UTC,7,11,5.84,0.93,30.4,56.1,Safe (Clean Air)
2026-05-02 18:26:55 UTC,4,11,6.5,1.02,30.4,56.1,Safe (Clean Air)
2026-05-02 18:27:05 UTC,9,7,5.87,0.95,30.3,55.9,Safe (Clean Air)
2026-05-02 18:27:15 UTC,6,12,6.1,0.96,30.3,55.9,Safe (Clean Air)
2026-05-02 18:27:25 UTC,6,5,6.68,0.95,30.3,55.8,Safe (Clean Air)
2026-05-02 18:27:35 UTC,7,10,6.26,0.99,30.3,55.9,Safe (Clean Air)
2026-05-02 18:27:45 UTC,4,9,6.61,1.02,30.4,56,Safe (Clean Air)
2026-05-02 18:27:55 UTC,9,6,5.87,0.95,30.4,55.9,Safe (Clean Air)
2026-05-02 18:28:05 UTC,3,7,6.49,1.02,30.4,56.1,Safe (Clean Air)
2026-05-02 18:28:15 UTC,4,12,5.76,0.96,30.4,56,Safe (Clean Air)
2026-05-02 18:28:25 UTC,9,7,5.94,0.94,30.5,56.1,Safe (Clean Air)
2026-05-02 18:28:35 UTC,5,9,5.91,0.93,30.5,56.1,Safe (Clean Air)
2026-05-02 18:28:45 UTC,5,12,6.35,0.95,30.5,55.9,Safe (Clean Air)
2026-05-02 18:28:55 UTC,3,12,6.86,1.01,30.5,55.9,Safe (Clean Air)
2026-05-02 18:29:05 UTC,9,9,6.46,0.98,30.6,55.9,Safe (Clean Air)
2026-05-02 18:29:15 UTC,7,9,5.82,0.97,30.6,55.9,Safe (Clean Air)
2026-05-02 18:29:25 UTC,3,8,6.53,0.95,30.6,55.7,Safe (Clean Air)
2026-05-02 18:29:35 UTC,7,6,6.22,0.98,30.6,55.8,Safe (Clean Air)
2026-05-02 18:29:45 UTC,3,12,6.08,0.93,30.7,55.6,Safe (Clean Air)
2026-05-02 18:29:55 UTC,6,10,6.35,0.95,30.7,55.6,Safe (Clean Air)
2026-05-02 18:30:05 UTC,5,6,6.21,0.91,30.7,55.7,Safe (Clean Air)
2026-05-02 18:30:15 UTC,9,5,6.21,1,30.7,55.4,Safe (Clean Air)
2026-05-02 18:30:25 UTC,6,6,6.24,0.96,30.7,55.4,Safe (Clean Air)
2026-05-02 18:30:35 UTC,7,5,6.17,0.99,30.8,55.5,Safe (Clean Air)
2026-05-02 18:30:45 UTC,7,12,6.25,0.95,30.8,55.5,Safe (Clean Air)
2026-05-02 18:30:55 UTC,8,7,6.53,0.97,30.8,55.5,Safe (Clean Air)
2026-05-02 18:31:05 UTC,3,9,6.7,1.04,30.8,55.4,Safe (Clean Air)
2026-05-02 18:31:15 UTC,3,7,6.06,0.89,30.9,55.4,Safe (Clean Air)
2026-05-02 18:31:25 UTC,8,12,6.46,0.98,30.9,55.5,Safe (Clean Air)
2026-05-02 18:31:35 UTC,3,11,5.87,0.95,30.9,55.6,Safe (Clean Air)
2026-05-02 18:31:45 UTC,6,8,6.07,1.02,31,55.6,Safe (Clean Air)
2026-05-02 18:31:55 UTC,8,6,5.85,0.94,31,55.6,Safe (Clean Air)
2026-05-02 18:32:05 UTC,3,9,6.33,0.93,31,55.4,Safe (Clean Air)
2026-05-02 18:32:15 UTC,5,5,5.76,0.94,31,55.4,Safe (Clean Air)
2026-05-02 18:32:25 UTC,3,12,6.21,0.93,31.1,55.5,Safe (Clean Air)
2026-05-02 18:32:35 UTC,4,11,6.53,0.99,31.1,55.3,Safe (Clean Air)
2026-05-02 18:32:45 UTC,9,8,6.55,1,31.1,55.4,Safe (Clean Air)
2026-05-02 18:32:55 UTC,9,10,5.86,0.94,31.1,55.4,Safe (Clean Air)
2026-05-02 18:33:05 UTC,7,8,5.9,0.93,31.1,55.6,Safe (Clean Air)
2026-05-02 18:33:15 UTC,9,8,6.46,0.98,31.1,55.2,Safe (Clean Air)
2026-05-02 18:33:25 UTC,4,11,6.06,0.94,31.2,55.1,Safe (Clean Air)
2026-05-02 18:33:35 UTC,6,11,6.46,0.98,31.2,55.1,Safe (Clean Air)
2026-05-02 18:33:45 UTC,6,9,5.95,0.94,31.1,54.8,Safe (Clean Air)
2026-05-02 18:33:55 UTC,3,6,6.49,0.99,31.2,54.8,Safe (Clean Air)
2026-05-02 18:34:05 UTC,6,10,6.06,0.93,31.2,54.7,Safe (Clean Air)
2026-05-02 18:34:15 UTC,3,10,6.28,0.98,31.2,54.7,Safe (Clean Air)
2026-05-02 18:34:25 UTC,4,12,6.1,0.96,31.2,54.7,Safe (Clean Air)
2026-05-02 18:34:35 UTC,3,6,6.53,1,31.2,54.7,Safe (Clean Air)
2026-05-02 18:34:45 UTC,3,11,6.52,0.97,31.2,54.6,Safe (Clean Air)
2026-05-02 18:34:55 UTC,9,11,5.87,0.97,31.3,54.5,Safe (Clean Air)
2026-05-02 18:35:05 UTC,8,7,6.4,0.99,31.3,54.4,Safe (Clean Air)
2026-05-02 18:35:15 UTC,7,9,6.1,0.95,31.2,54.2,Safe (Clean Air)
2026-05-02 18:35:25 UTC,7,6,6.15,1,31.3,54.4,Safe (Clean Air)
2026-05-02 18:35:35 UTC,7,11,6.1,0.95,31.2,54.2,Safe (Clean Air)
2026-05-02 18:35:45 UTC,5,10,6.61,0.99,31.2,54.8,Safe (Clean Air)
2026-05-02 18:35:55 UTC,4,12,6.11,0.95,31.2,54.8,Safe (Clean Air)
2026-05-02 18:36:05 UTC,6,11,6.36,0.97,31.2,54.5,Safe (Clean Air)
2026-05-02 18:36:15 UTC,3,6,6.38,0.99,31.2,54.3,Safe (Clean Air)
2026-05-02 18:36:25 UTC,8,5,6.58,0.99,31.2,54.3,Safe (Clean Air)
2026-05-02 18:36:35 UTC,7,8,6.08,0.94,31.2,54.2,Safe (Clean Air)
2026-05-02 18:36:45 UTC,3,5,5.91,0.97,31.2,54.1,Safe (Clean Air)
2026-05-02 18:36:55 UTC,8,11,6.35,0.99,31.2,54.3,Safe (Clean Air)
2026-05-02 18:37:05 UTC,7,8,6.22,0.93,31.1,54.5,Safe (Clean Air)
2026-05-02 18:37:15 UTC,6,7,6.45,0.97,31.1,54.6,Safe (Clean Air)
2026-05-02 18:37:25 UTC,4,7,5.94,0.96,31.1,54.7,Safe (Clean Air)
2026-05-02 18:37:35 UTC,6,7,6.29,0.96,31.1,54.7,Safe (Clean Air)
2026-05-02 18:37:45 UTC,6,8,6.08,0.94,31.1,54.8,Safe (Clean Air)
2026-05-02 18:37:55 UTC,6,10,6.42,0.99,31.1,54.8,Safe (Clean Air)
2026-05-02 18:38:05 UTC,4,6,6.02,0.95,31.1,54.8,Safe (Clean Air)
2026-05-02 18:38:15 UTC,6,9,6.67,0.99,31.1,54.9,Safe (Clean Air)
2026-05-02 18:38:25 UTC,6,6,6.73,0.99,31.1,54.8,Safe (Clean Air)
2026-05-02 18:38:35 UTC,7,9,6.06,0.93,31.1,54.5,Safe (Clean Air)
2026-05-02 18:38:45 UTC,6,6,6.55,1,31,54.5,Safe (Clean Air)
2026-05-02 18:38:55 UTC,4,10,6.2,0.94,31.1,54.6,Safe (Clean Air)
2026-05-02 18:39:05 UTC,6,8,6.33,0.99,31.1,54.7,Safe (Clean Air)
2026-05-02 18:39:15 UTC,9,10,5.98,0.95,31.1,54.9,Safe (Clean Air)
2026-05-02 18:39:25 UTC,4,11,6.56,0.99,31.1,54.9,Safe (Clean Air)
2026-05-02 18:39:35 UTC,8,12,5.96,0.94,31.1,55.1,Safe (Clean Air)
2026-05-02 18:39:45 UTC,4,7,6.38,0.98,31.1,54.5,Safe (Clean Air)
2026-05-02 18:39:55 UTC,8,8,6.1,0.94,31.1,54,Safe (Clean Air)
2026-05-02 18:40:05 UTC,4,11,6.43,0.99,31.1,54,Safe (Clean Air)
2026-05-02 18:40:15 UTC,5,10,6.14,0.95,31,54.2,Safe (Clean Air)
2026-05-02 18:40:25 UTC,6,10,6.08,0.94,31,54,Safe (Clean Air)
2026-05-02 18:40:35 UTC,5,5,6.79,1,31,54,Safe (Clean Air)
2026-05-02 18:40:45 UTC,5,12,5.9,0.95,31,54.3,Safe (Clean Air)
2026-05-02 18:40:55 UTC,8,11,6.56,0.99,31,54.4,Safe (Clean Air)
2026-05-02 18:41:05 UTC,6,5,6.08,0.95,31,54.4,Safe (Clean Air)
2026-05-02 18:41:15 UTC,6,7,6.28,0.99,31.1,54.8,Safe (Clean Air)
2026-05-02 18:41:25 UTC,5,9,6.1,0.94,31,55.5,Safe (Clean Air)
2026-05-02 18:41:35 UTC,3,5,6.76,1.02,31,55.4,Safe (Clean Air)
2026-05-02 18:41:45 UTC,7,12,6.3,0.94,31,55.1,Safe (Clean Air)
2026-05-02 18:41:55 UTC,8,9,6.39,0.99,31.1,54.9,Safe (Clean Air)
2026-05-02 18:42:05 UTC,6,10,6.38,1,31,54.9,Safe (Clean Air)
2026-05-02 18:42:15 UTC,4,9,6.06,0.93,31.1,54.9,Safe (Clean Air)
2026-05-02 18:42:25 UTC,4,9,6.77,1.01,31.1,54.9,Safe (Clean Air)
2026-05-02 18:42:35 UTC,7,10,5.96,0.94,31.1,54.9,Safe (Clean Air)
2026-05-02 18:42:45 UTC,6,5,6.52,1,31.1,54.7,Safe (Clean Air)
2026-05-02 18:42:55 UTC,9,9,6.3,0.94,31,54.7,Safe (Clean Air)
2026-05-02 18:43:05 UTC,9,12,6.4,0.98,31.1,54.7,Safe (Clean Air)
2026-05-02 18:43:15 UTC,7,7,6.08,0.94,31,54.9,Safe (Clean Air)
2026-05-02 18:43:25 UTC,7,5,6.45,0.98,31.1,54.9,Safe (Clean Air)
2026-05-02 18:43:35 UTC,8,11,6.1,0.95,31.1,54.9,Safe (Clean Air)
2026-05-02 18:43:45 UTC,7,8,6.43,0.99,31.1,55,Safe (Clean Air)
2026-05-02 18:43:55 UTC,6,8,6.24,0.96,31.1,55,Safe (Clean Air)
2026-05-02 18:44:05 UTC,6,6,6.17,0.95,31.1,55,Safe (Clean Air)
2026-05-02 18:44:15 UTC,3,5,6.8,1,31.1,55,Safe (Clean Air)
2026-05-02 18:44:25 UTC,7,12,6.17,0.95,31.1,54.9,Safe (Clean Air)
2026-05-02 18:44:35 UTC,6,11,6.62,0.99,31.1,54.9,Safe (Clean Air)
2026-05-02 18:44:45 UTC,3,5,5.86,0.93,31.1,54.8,Safe (Clean Air)
2026-05-02 18:44:55 UTC,5,8,6.53,0.99,31.1,54.8,Safe (Clean Air)
2026-05-02 18:45:05 UTC,5,11,5.93,0.94,31.1,54.8,Safe (Clean Air)
2026-05-02 18:45:15 UTC,9,12,6.45,0.99,31.1,54.8,Safe (Clean Air)
2026-05-02 18:45:25 UTC,6,11,6.17,0.95,31.1,54.7,Safe (Clean Air)
2026-05-02 18:45:35 UTC,8,9,6.62,1,31.1,54.6,Safe (Clean Air)
2026-05-02 18:45:45 UTC,5,8,6.35,0.97,31.1,54.7,Safe (Clean Air)
2026-05-02 18:45:55 UTC,6,5,6.02,0.93,31.1,54.6,Safe (Clean Air)
2026-05-02 18:46:05 UTC,8,11,6.39,1,31.1,54.5,Safe (Clean Air)
2026-05-02 18:46:15 UTC,7,7,5.81,0.93,31.1,54.1,Safe (Clean Air)
2026-05-02 18:46:25 UTC,7,11,6.36,0.99,31.1,54,Safe (Clean Air)
2026-05-02 18:46:35 UTC,8,12,5.93,0.93,31.1,54.2,Safe (Clean Air)
2026-05-02 18:46:45 UTC,3,6,6.48,0.99,31.1,54.5,Safe (Clean Air)
2026-05-02 18:46:55 UTC,9,11,6.11,0.95,31.1,54.7,Safe (Clean Air)
2026-05-02 18:47:05 UTC,9,8,6.53,0.97,31.1,54.7,Safe (Clean Air)
2026-05-02 18:47:15 UTC,8,7,6.53,0.97,31.1,54.6,Safe (Clean Air)
2026-05-02 18:47:25 UTC,9,8,6.68,1,31.1,54.6,Safe (Clean Air)
2026-05-02 18:47:35 UTC,8,6,6.56,0.98,31.1,54.3,Safe (Clean Air)
2026-05-02 18:47:45 UTC,7,12,6.08,0.94,31.1,53.8,Safe (Clean Air)
2026-05-02 18:47:55 UTC,6,7,6.35,0.99,31.1,53.3,Safe (Clean Air)
2026-05-02 18:48:05 UTC,4,10,5.96,0.91,31.1,54,Safe (Clean Air)
2026-05-02 18:48:15 UTC,5,9,6.52,0.99,31.1,54.5,Safe (Clean Air)
2026-05-02 18:48:25 UTC,8,9,6.13,0.97,31.1,54.5,Safe (Clean Air)
2026-05-02 18:48:35 UTC,7,7,6.49,1.01,31.1,54.3,Safe (Clean Air)
